"Obsdate","Observer","Plot","Field_remarks","Section","SnowCoverFraction","General_remarks"
"2019/05/29","Lars Holst Hansen","Sal4","No remarks","A",85,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal6","No remarks","A",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax1Sil1","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax2Sil2","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax3Sil3","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sil4","No remarks","A",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Veg1","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Art1","No remarks","A",5,"No remarks"
"2019/05/31","Lars Holst Hansen","Art2","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas1","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas2","No remarks","A",50,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas4","No remarks","A",10,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry1","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry2Sal7","No remarks","A",100,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry4","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry5","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri1","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri3","No remarks","A",99,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap1","No remarks","A",5,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap3","No remarks","A",20,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal1","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal2","No remarks","A",30,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal3","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax1Sil1","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax2Sil2","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax3Sil3","No remarks","A",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Veg1","No remarks","A",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Art3","No remarks","A",95,"No remarks"
"2019/06/01","Lars Holst Hansen","Art5","No remarks","A",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Art6","No remarks","A",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Art7","No remarks","A",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Cas3","No remarks","A",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry3","No remarks","A",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry6Pap4","No remarks","A",-9999,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri2","No remarks","A",15,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri4","No remarks","A",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Pap2Sal5","No remarks","A",65,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal4","No remarks","A",30,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal6","No remarks","A",60,"No remarks"
"2019/06/01","Lars Holst Hansen","Sil4","No remarks","A",5,"No remarks"
"2019/06/03","Lars Holst Hansen","Art3","No remarks","A",25,"No remarks"
"2019/06/03","Lars Holst Hansen","Art5","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Art6","No remarks","A",98,"No remarks"
"2019/06/03","Lars Holst Hansen","Art7","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas1","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas2","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas3","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas4","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry1","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry2Sal7","No remarks","A",100,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry3","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry4","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry5","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry6Pap4","No remarks","A",85,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri1","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri2","No remarks","A",1,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri3","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri4","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap1","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap2Sal5","No remarks","A",5,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap3","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal1","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal2","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal3","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal4","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal6","No remarks","A",2,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax1Sil1","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax2Sil2","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax3Sil3","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sil4","No remarks","A",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Veg1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art3","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art5","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art6","No remarks","A",10,"No remarks"
"2019/06/05","Lars Holst Hansen","Art7","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas2","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas3","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas4","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry2Sal7","No remarks","A",90,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry3","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry4","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry5","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry6Pap4","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri2","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri3","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri4","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap2Sal5","No remarks","A",1,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap3","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal2","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal3","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal4","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal6","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax1Sil1","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax2Sil2","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax3Sil3","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sil4","No remarks","A",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Veg1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art2","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art3","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art5","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art6","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art7","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas2","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas3","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas4","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry2Sal7","No remarks","A",65,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry3","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry4","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry5","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry6Pap4","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri2","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri3","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri4","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap2Sal5","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap3","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal2","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal3","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal4","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal6","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax1Sil1","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax2Sil2","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax3Sil3","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sil4","No remarks","A",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Veg1","No remarks","A",0,"No remarks"
"2019/06/08","Lars Holst Hansen","Art6","No remarks","A",0,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry2Sal7","No remarks","A",1,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry6Pap4","No remarks","A",0,"No remarks"
"2019/06/09","Jannik Hansen","Art6","No remarks","A",0,"No remarks"
"2019/06/11","Jannik Hansen","Dry2Sal7","No remarks","A",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art1","No remarks","B",-9999,"No remarks"
"2019/05/29","Lars Holst Hansen","Art2","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art3","No remarks","B",70,"No remarks"
"2019/05/29","Lars Holst Hansen","Art5","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art6","No remarks","B",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Art7","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas1","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas2","No remarks","B",95,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas3","No remarks","B",1,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas4","No remarks","B",95,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry1","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry2Sal7","No remarks","B",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry3","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry4","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry5","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry6Pap4","No remarks","B",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri1","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri2","No remarks","B",60,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri3","No remarks","B",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri4","No remarks","B",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap1","No remarks","B",80,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap2Sal5","No remarks","B",99,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap3","No remarks","B",95,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal1","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal2","No remarks","B",75,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal3","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal4","No remarks","B",65,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal6","No remarks","B",99,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax1Sil1","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax2Sil2","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax3Sil3","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sil4","No remarks","B",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Veg1","No remarks","B",-9999,"No remarks"
"2019/05/31","Lars Holst Hansen","Art1","No remarks","B",-9999,"No remarks"
"2019/05/31","Lars Holst Hansen","Art2","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas1","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas2","No remarks","B",15,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas4","No remarks","B",20,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry1","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry2Sal7","No remarks","B",100,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry4","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry5","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri1","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri3","No remarks","B",100,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap1","No remarks","B",30,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap3","No remarks","B",80,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal1","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal2","No remarks","B",50,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal3","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax1Sil1","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax2Sil2","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax3Sil3","No remarks","B",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Veg1","No remarks","B",-9999,"No remarks"
"2019/06/01","Lars Holst Hansen","Art3","No remarks","B",5,"No remarks"
"2019/06/01","Lars Holst Hansen","Art5","No remarks","B",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Art6","No remarks","B",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Art7","No remarks","B",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Cas3","No remarks","B",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry3","No remarks","B",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry6Pap4","No remarks","B",-9999,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri2","No remarks","B",10,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri4","No remarks","B",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Pap2Sal5","No remarks","B",85,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal4","No remarks","B",25,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal6","No remarks","B",80,"No remarks"
"2019/06/01","Lars Holst Hansen","Sil4","No remarks","B",80,"No remarks"
"2019/06/03","Lars Holst Hansen","Art3","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Art5","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Art6","No remarks","B",98,"No remarks"
"2019/06/03","Lars Holst Hansen","Art7","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas1","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas2","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas3","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas4","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry1","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry2Sal7","No remarks","B",95,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry3","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry4","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry5","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry6Pap4","No remarks","B",95,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri1","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri2","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri3","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri4","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap1","No remarks","B",5,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap2Sal5","No remarks","B",35,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap3","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal1","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal2","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal3","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal4","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal6","No remarks","B",2,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax1Sil1","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax2Sil2","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax3Sil3","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sil4","No remarks","B",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Veg1","No remarks","B",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","B",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","B",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art3","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art5","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art6","No remarks","B",50,"No remarks"
"2019/06/05","Lars Holst Hansen","Art7","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas1","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas2","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas3","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas4","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry1","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry2Sal7","No remarks","B",95,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry3","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry4","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry5","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry6Pap4","No remarks","B",25,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri1","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri2","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri3","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri4","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap1","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap2Sal5","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap3","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal1","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal2","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal3","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal4","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal6","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax1Sil1","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax2Sil2","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax3Sil3","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sil4","No remarks","B",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Veg1","No remarks","B",-9999,"No remarks"
"2019/06/06","Lars Holst Hansen","Art1","No remarks","B",-9999,"No remarks"
"2019/06/06","Lars Holst Hansen","Art2","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art3","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art5","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art6","No remarks","B",20,"No remarks"
"2019/06/06","Lars Holst Hansen","Art7","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas1","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas2","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas3","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas4","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry1","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry2Sal7","No remarks","B",90,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry3","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry4","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry5","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry6Pap4","No remarks","B",10,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri1","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri2","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri3","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri4","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap1","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap2Sal5","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap3","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal1","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal2","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal3","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal4","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal6","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax1Sil1","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax2Sil2","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax3Sil3","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sil4","No remarks","B",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Veg1","No remarks","B",-9999,"No remarks"
"2019/06/08","Lars Holst Hansen","Art6","No remarks","B",1,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry2Sal7","No remarks","B",5,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry6Pap4","No remarks","B",0,"No remarks"
"2019/06/09","Jannik Hansen","Art6","No remarks","B",0,"No remarks"
"2019/06/11","Jannik Hansen","Dry2Sal7","No remarks","B",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art1","No remarks","C",-9999,"No remarks"
"2019/05/29","Lars Holst Hansen","Art2","No remarks","C",0,"No remarks"
