Date	Plot	Section	SnowCoverFraction	Field_remarks	General_remarks
1996-06-03	Sal2	A-D	95	No remarks	No remarks
1996-06-03	Pap2Sal5	A-D	100	No remarks	No remarks
1996-06-03	Pap3	A-D	100	No remarks	No remarks
1996-06-03	Dry6Pap4	A-D	100	No remarks	No remarks
1996-06-03	Sil4	A-D	100	No remarks	No remarks
1996-06-03	Art2	B	0	Opened	No remarks
1996-06-03	Art3	B	-9999	No remarks	No remarks
1996-06-03	Art1	C	-9999	Opened	No remarks
1996-06-03	Art2	C	0	Opened	No remarks
1996-06-03	Art1	E	-9999	Opened	No remarks
1996-06-03	Art2	E	0	Opened	No remarks
1996-06-03	Art3	E	-9999	No remarks	No remarks
1996-06-03	Art1	F	-9999	Opened	No remarks
1996-06-03	Art2	F	0	Opened	No remarks
1996-06-03	Art1	H	-9999	Opened	No remarks
1996-06-03	Art2	H	0	Opened	No remarks
1996-06-03	Art3	H	-9999	No remarks	No remarks
1996-06-03	Dry1	A-D	0	No remarks	No remarks
1996-06-03	Dry2Sal7	A-D	100	No remarks	No remarks
1996-06-03	Sal3	A-D	80	No remarks	No remarks
1996-06-03	Cas1	A-D	80	No remarks	No remarks
1996-06-03	Cas2	A-D	100	No remarks	No remarks
1996-06-03	Cas4	A-D	100	No remarks	No remarks
1996-06-03	Pap1	A-D	100	No remarks	No remarks
1996-06-03	Art1	A	50	Opened	No remarks
1996-06-03	Art2	A	0	Opened	No remarks
1996-06-03	Art3	A	100	No remarks	No remarks
1996-06-03	Art1	B	-9999	Opened	No remarks
1996-06-03	Art3	C	-9999	No remarks	No remarks
1996-06-03	Art1	D	-9999	Opened	No remarks
1996-06-03	Art2	D	0	Opened	No remarks
1996-06-03	Art3	D	-9999	No remarks	No remarks
1996-06-03	Art3	F	-9999	No remarks	No remarks
1996-06-03	Art1	G	-9999	Opened	No remarks
1996-06-03	Art2	G	0	Opened	No remarks
1996-06-03	Art3	G	-9999	No remarks	No remarks
1996-06-04	Dry3	A-D	75	No remarks	No remarks
1996-06-04	Art5	A	50	No remarks	No remarks
1996-06-04	Art6	A	100	No remarks	No remarks
1996-06-04	Art4	B	-9999	No remarks	No remarks
1996-06-04	Art5	B	-9999	No remarks	No remarks
1996-06-04	Art4	D	-9999	No remarks	No remarks
1996-06-04	Art5	D	-9999	No remarks	No remarks
1996-06-04	Art6	D	-9999	No remarks	No remarks
1996-06-04	Art4	E	-9999	No remarks	No remarks
1996-06-04	Art5	E	-9999	No remarks	No remarks
1996-06-04	Art4	G	-9999	No remarks	No remarks
1996-06-04	Art5	G	-9999	No remarks	No remarks
1996-06-04	Art6	G	-9999	No remarks	No remarks
1996-06-04	Art4	H	-9999	No remarks	No remarks
1996-06-04	Sal1	A-D	0	No remarks	No remarks
1996-06-04	Sal4	A-D	100	No remarks	No remarks
1996-06-04	Sax2Sil2	A-D	0	No remarks	No remarks
1996-06-04	Art4	A	97	No remarks	No remarks
1996-06-04	Art6	B	-9999	No remarks	No remarks
1996-06-04	Art4	C	-9999	No remarks	No remarks
1996-06-04	Art5	C	-9999	No remarks	No remarks
1996-06-04	Art6	C	-9999	No remarks	No remarks
1996-06-04	Art6	E	-9999	No remarks	No remarks
1996-06-04	Art4	F	-9999	No remarks	No remarks
1996-06-04	Art5	F	-9999	No remarks	No remarks
1996-06-04	Art6	F	-9999	No remarks	No remarks
1996-06-04	Art5	H	-9999	No remarks	No remarks
1996-06-04	Art6	H	-9999	No remarks	No remarks
1996-06-10	Dry3	A-D	0	No remarks	No remarks
1996-06-10	Dry4	A-D	0	No remarks	No remarks
1996-06-10	Dry5	A-D	5	No remarks	No remarks
1996-06-10	Dry6Pap4	A-D	100	No remarks	No remarks
1996-06-10	Cas1	A-D	100	No remarks	No remarks
1996-06-10	Cas2	A-D	100	No remarks	No remarks
1996-06-10	Cas4	A-D	100	No remarks	No remarks
1996-06-10	Sax1Sil1	A-D	0	No remarks	No remarks
1996-06-10	Sax2Sil2	A-D	0	No remarks	No remarks
1996-06-10	Dry6Pap4	A-D	100	No remarks	No remarks
1996-06-10	Sil4	A-D	100	No remarks	No remarks
1996-06-10	Art1	A	1	No remarks	No remarks
1996-06-10	Art2	A	0	One trap full of water	No remarks
1996-06-10	Art1	B	-9999	No remarks	No remarks
1996-06-10	Art2	B	0	One trap full of water	No remarks
1996-06-10	Art3	B	-9999	No remarks	No remarks
1996-06-10	Art4	B	-9999	No remarks	No remarks
1996-06-10	Dry1	A-D	0	No remarks	No remarks
1996-06-10	Dry2Sal7	A-D	100	No remarks	No remarks
1996-06-10	Sal1	A-D	0	No remarks	No remarks
1996-06-10	Sal2	A-D	70	No remarks	No remarks
1996-06-10	Sal3	A-D	25	No remarks	No remarks
1996-06-10	Sal4	A-D	100	No remarks	No remarks
1996-06-10	Sax3Sil3	A-D	0	No remarks	No remarks
1996-06-10	Pap1	A-D	100	No remarks	No remarks
1996-06-10	Pap2Sal5	A-D	100	No remarks	No remarks
1996-06-10	Pap3	A-D	100	No remarks	No remarks
1996-06-10	Art3	A	100	No remarks	No remarks
1996-06-10	Art4	A	85	No remarks	No remarks
1996-06-10	Art5	A	10	Traps opened	No remarks
1996-06-10	Art6	A	100	No remarks	No remarks
1996-06-10	Art5	B	-9999	Traps opened	No remarks
1996-06-10	Art6	B	-9999	No remarks	No remarks
1996-06-10	Art1	C	-9999	No remarks	No remarks
1996-06-10	Art2	C	0	One trap full of water	No remarks
1996-06-10	Art3	C	-9999	No remarks	No remarks
1996-06-10	Art4	C	-9999	No remarks	No remarks
1996-06-10	Art5	C	-9999	Traps opened	No remarks
1996-06-10	Art6	C	-9999	No remarks	No remarks
1996-06-10	Art1	D	-9999	No remarks	No remarks
1996-06-10	Art6	D	-9999	No remarks	No remarks
1996-06-10	Art1	E	-9999	No remarks	No remarks
1996-06-10	Art2	E	0	One trap full of water	No remarks
1996-06-10	Art3	E	-9999	No remarks	No remarks
1996-06-10	Art2	F	0	One trap full of water	No remarks
1996-06-10	Art3	F	-9999	No remarks	No remarks
1996-06-10	Art4	F	-9999	No remarks	No remarks
1996-06-10	Art5	F	-9999	Traps opened	No remarks
1996-06-10	Art5	G	-9999	Traps opened	No remarks
1996-06-10	Art6	G	-9999	No remarks	No remarks
1996-06-10	Art1	H	-9999	No remarks	No remarks
1996-06-10	Art2	H	0	One trap full of water	No remarks
1996-06-10	Art2	D	0	One trap full of water	No remarks
1996-06-10	Art3	D	-9999	No remarks	No remarks
1996-06-10	Art4	D	-9999	No remarks	No remarks
1996-06-10	Art5	D	-9999	Traps opened	No remarks
1996-06-10	Art4	E	-9999	No remarks	No remarks
1996-06-10	Art5	E	-9999	Traps opened	No remarks
1996-06-10	Art6	E	-9999	No remarks	No remarks
1996-06-10	Art1	F	-9999	No remarks	No remarks
1996-06-10	Art6	F	-9999	No remarks	No remarks
1996-06-10	Art1	G	-9999	No remarks	No remarks
1996-06-10	Art2	G	0	One trap full of water	No remarks
1996-06-10	Art3	G	-9999	No remarks	No remarks
1996-06-10	Art4	G	-9999	No remarks	No remarks
1996-06-10	Art3	H	-9999	No remarks	No remarks
1996-06-10	Art4	H	-9999	No remarks	No remarks
1996-06-10	Art5	H	-9999	Traps opened	No remarks
1996-06-10	Art6	H	-9999	No remarks	No remarks
1996-06-12	Cas3	A-D	97	No remarks	No remarks
1996-06-17	Dry1	A-D	0	No remarks	No remarks
1996-06-17	Dry2Sal7	A-D	100	No remarks	No remarks
1996-06-17	Dry3	A-D	0	No remarks	No remarks
1996-06-17	Sal2	A-D	30	No remarks	No remarks
1996-06-17	Sal3	A-D	0	No remarks	No remarks
1996-06-17	Sal4	A-D	80	No remarks	No remarks
1996-06-17	Cas1	A-D	0	Buds present	No remarks
1996-06-17	Cas2	A-D	70	No remarks	No remarks
1996-06-17	Sax3Sil3	A-D	0	No remarks	No remarks
1996-06-17	Pap1	A-D	90	No remarks	No remarks
1996-06-17	Pap2Sal5	A-D	100	No remarks	No remarks
1996-06-17	Pap3	A-D	98	No remarks	No remarks
1996-06-17	Art3	A	20	No remarks	No remarks
1996-06-17	Art4	A	20	No remarks	No remarks
1996-06-17	Art5	A	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art6	A	100	No remarks	No remarks
1996-06-17	Art5	B	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art6	B	-9999	No remarks	No remarks
1996-06-17	Art1	C	-9999	No remarks	No remarks
1996-06-17	Art2	C	0	No remarks	No remarks
1996-06-17	Art3	C	-9999	No remarks	No remarks
1996-06-17	Art2	D	0	No remarks	No remarks
1996-06-17	Art3	D	-9999	No remarks	No remarks
1996-06-17	Art4	D	-9999	No remarks	No remarks
1996-06-17	Art5	D	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art4	E	-9999	No remarks	No remarks
1996-06-17	Art5	E	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art6	E	-9999	No remarks	No remarks
1996-06-17	Art1	F	-9999	No remarks	No remarks
1996-06-17	Art6	F	-9999	No remarks	No remarks
1996-06-17	Art1	G	-9999	No remarks	No remarks
1996-06-17	Art2	G	0	No remarks	No remarks
1996-06-17	Art3	G	-9999	No remarks	No remarks
1996-06-17	Art4	G	-9999	No remarks	No remarks
1996-06-17	Art3	H	-9999	No remarks	No remarks
1996-06-17	Art4	H	-9999	No remarks	No remarks
1996-06-17	Art5	H	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art6	H	-9999	No remarks	No remarks
1996-06-17	Dry4	A-D	0	No remarks	No remarks
1996-06-17	Dry5	A-D	0	No remarks	No remarks
1996-06-17	Dry6Pap4	A-D	98	No remarks	No remarks
1996-06-17	Sal1	A-D	0	No remarks	No remarks
1996-06-17	Cas3	A-D	0	No remarks	No remarks
1996-06-17	Cas4	A-D	100	No remarks	No remarks
1996-06-17	Sax1Sil1	A-D	0	No remarks	No remarks
1996-06-17	Sax2Sil2	A-D	0	No remarks	No remarks
1996-06-17	Dry6Pap4	A-D	98	No remarks	No remarks
1996-06-17	Sil4	A-D	100	No remarks	No remarks
1996-06-17	Art1	A	0	No remarks	No remarks
1996-06-17	Art2	A	0	No remarks	No remarks
1996-06-17	Art1	B	-9999	No remarks	No remarks
1996-06-17	Art2	B	0	No remarks	No remarks
1996-06-17	Art3	B	-9999	No remarks	No remarks
1996-06-17	Art4	B	-9999	No remarks	No remarks
1996-06-17	Art4	C	-9999	No remarks	No remarks
1996-06-17	Art5	C	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art6	C	-9999	No remarks	No remarks
1996-06-17	Art1	D	-9999	No remarks	No remarks
1996-06-17	Art6	D	-9999	No remarks	No remarks
1996-06-17	Art1	E	-9999	No remarks	No remarks
1996-06-17	Art2	E	0	No remarks	No remarks
1996-06-17	Art3	E	-9999	No remarks	No remarks
1996-06-17	Art2	F	0	No remarks	No remarks
1996-06-17	Art3	F	-9999	No remarks	No remarks
1996-06-17	Art4	F	-9999	No remarks	No remarks
1996-06-17	Art5	F	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art5	G	0	3 of 4 yellow traps floating	No remarks
1996-06-17	Art6	G	-9999	No remarks	No remarks
1996-06-17	Art1	H	-9999	No remarks	No remarks
1996-06-17	Art2	H	0	No remarks	No remarks
1996-06-20	Sal1	A-D	-9999	No remarks	No remarks
1996-06-20	Sax1Sil1	A-D	0	Note: Plot enlarged in 1997.	No remarks
1996-06-20	Sax2Sil2	A-D	0	No remarks	No remarks
1996-06-20	Sax3Sil3	A-D	0	No remarks	No remarks
1996-06-24	Dry1	A-D	0	No remarks	No remarks
1996-06-24	Dry2Sal7	A-D	70	No remarks	No remarks
1996-06-24	Dry3	A-D	0	No remarks	No remarks
1996-06-24	Dry4	A-D	0	No remarks	No remarks
1996-06-24	Sal4	A-D	0	No remarks	No remarks
1996-06-24	Cas1	A-D	0	No remarks	No remarks
1996-06-24	Cas2	A-D	0	No remarks	No remarks
1996-06-24	Cas3	A-D	0	No remarks	No remarks
1996-06-24	Pap1	A-D	5	No remarks	No remarks
1996-06-24	Pap2Sal5	A-D	5	No remarks	No remarks
1996-06-24	Pap3	A-D	1	No remarks	No remarks
1996-06-24	Dry6Pap4	A-D	5	No remarks	No remarks
1996-06-24	Art4	A	0	Traps opened	No remarks
1996-06-24	Art5	A	0	No remarks	No remarks
1996-06-24	Art6	A	80	No remarks	No remarks
1996-06-24	Art1	B	-9999	No remarks	No remarks
1996-06-24	Art1	C	-9999	No remarks	No remarks
1996-06-24	Art2	C	0	No remarks	No remarks
1996-06-24	Art3	C	0	Traps opened	No remarks
1996-06-24	Art4	C	0	Traps opened	No remarks
1996-06-24	Art3	D	0	Traps opened	No remarks
1996-06-24	Art4	D	0	Traps opened	No remarks
1996-06-24	Art5	D	0	No remarks	No remarks
1996-06-24	Art6	D	-9999	No remarks	No remarks
1996-06-24	Art5	E	0	No remarks	No remarks
1996-06-24	Art6	E	-9999	No remarks	No remarks
1996-06-24	Art1	F	-9999	No remarks	No remarks
1996-06-24	Art2	F	0	No remarks	No remarks
1996-06-24	Art3	F	0	Traps opened	No remarks
1996-06-24	Art2	G	0	No remarks	No remarks
1996-06-24	Art3	G	0	Traps opened	No remarks
1996-06-24	Art4	G	0	Traps opened	No remarks
1996-06-24	Art5	G	0	No remarks	No remarks
1996-06-24	Art4	H	0	Traps opened	No remarks
1996-06-24	Art5	H	0	No remarks	No remarks
1996-06-24	Art6	H	-9999	No remarks	No remarks
1996-06-24	Dry5	A-D	0	No remarks	No remarks
1996-06-24	Dry6Pap4	A-D	5	No remarks	No remarks
1996-06-24	Sal1	A-D	0	No remarks	No remarks
1996-06-24	Sal2	A-D	1	No remarks	No remarks
1996-06-24	Sal3	A-D	0	No remarks	No remarks
1996-06-24	Cas4	A-D	5	No remarks	No remarks
1996-06-24	Sax1Sil1	A-D	0	No remarks	No remarks
1996-06-24	Sax2Sil2	A-D	0	No remarks	No remarks
1996-06-24	Sax3Sil3	A-D	0	No remarks	No remarks
1996-06-24	Sil4	A-D	50	No remarks	No remarks
1996-06-24	Art1	A	0	No remarks	No remarks
1996-06-24	Art2	A	0	No remarks	No remarks
1996-06-24	Art3	A	0	Traps opened	No remarks
1996-06-24	Art2	B	0	No remarks	No remarks
1996-06-24	Art3	B	0	Traps opened	No remarks
1996-06-24	Art4	B	0	Traps opened	No remarks
1996-06-24	Art5	B	0	No remarks	No remarks
1996-06-24	Art6	B	-9999	No remarks	No remarks
1996-06-24	Art5	C	0	No remarks	No remarks
1996-06-24	Art6	C	-9999	No remarks	No remarks
1996-06-24	Art1	D	-9999	No remarks	No remarks
1996-06-24	Art2	D	0	No remarks	No remarks
1996-06-24	Art1	E	-9999	No remarks	No remarks
1996-06-24	Art2	E	0	No remarks	No remarks
1996-06-24	Art3	E	0	Traps opened	No remarks
1996-06-24	Art4	E	0	Traps opened	No remarks
1996-06-24	Art4	F	0	Traps opened	No remarks
1996-06-24	Art5	F	0	No remarks	No remarks
1996-06-24	Art6	F	-9999	No remarks	No remarks
1996-06-24	Art1	G	-9999	No remarks	No remarks
1996-06-24	Art6	G	-9999	No remarks	No remarks
1996-06-24	Art1	H	-9999	No remarks	No remarks
1996-06-24	Art2	H	0	No remarks	No remarks
1996-06-24	Art3	H	0	Traps opened	No remarks
1996-07-01	Dry1	A-D	0	No remarks	No remarks
1996-07-01	Dry6Pap4	A-D	0	No remarks	No remarks
1996-07-01	Sal1	A-D	0	No remarks	No remarks
1996-07-01	Sal2	A-D	0	No remarks	No remarks
1996-07-01	Sal4	A-D	0	No remarks	No remarks
1996-07-01	Cas1	A-D	0	No remarks	No remarks
1996-07-01	Sax2Sil2	A-D	0	No remarks	No remarks
1996-07-01	Sax3Sil3	A-D	0	No remarks	No remarks
1996-07-01	Pap1	A-D	0	No remarks	No remarks
1996-07-01	Pap2Sal5	A-D	0	No remarks	No remarks
1996-07-01	Art2	A	0	No remarks	No remarks
1996-07-01	Art3	A	0	No remarks	No remarks
1996-07-01	Art4	A	0	No remarks	No remarks
1996-07-01	Art5	A	0	No remarks	No remarks
1996-07-01	Art4	B	0	No remarks	No remarks
1996-07-01	Art5	B	0	No remarks	No remarks
1996-07-01	Art6	B	0	No remarks	No remarks
1996-07-01	Art1	C	-9999	No remarks	No remarks
1996-07-01	Art2	C	0	No remarks	No remarks
1996-07-01	Art1	D	-9999	No remarks	No remarks
1996-07-01	Art2	D	0	No remarks	No remarks
1996-07-01	Art3	D	0	No remarks	No remarks
1996-07-01	Art4	D	0	No remarks	No remarks
1996-07-01	Art3	E	0	No remarks	No remarks
1996-07-01	Art4	E	0	No remarks	No remarks
1996-07-01	Art5	E	0	No remarks	No remarks
1996-07-01	Art6	E	0	No remarks	No remarks
1996-07-01	Art6	F	0	No remarks	No remarks
1996-07-01	Art1	G	-9999	No remarks	No remarks
1996-07-01	Art2	G	0	No remarks	No remarks
1996-07-01	Art3	G	0	No remarks	No remarks
1996-07-01	Art2	H	0	No remarks	No remarks
1996-07-01	Art3	H	0	No remarks	No remarks
1996-07-01	Art4	H	0	No remarks	No remarks
1996-07-01	Art5	H	0	No remarks	No remarks
1996-07-01	Dry2Sal7	A-D	0	No remarks	No remarks
1996-07-01	Dry3	A-D	0	No remarks	No remarks
1996-07-01	Dry4	A-D	0	No remarks	No remarks
1996-07-01	Dry5	A-D	0	No remarks	No remarks
1996-07-01	Cas2	A-D	0	No remarks	No remarks
1996-07-01	Cas3	A-D	0	No remarks	No remarks
1996-07-01	Cas4	A-D	0	No remarks	No remarks
1996-07-01	Sax1Sil1	A-D	0	No remarks	No remarks
1996-07-01	Pap3	A-D	0	No remarks	No remarks
1996-07-01	Dry6Pap4	A-D	0	No remarks	No remarks
1996-07-01	Sil4	A-D	0	No remarks	No remarks
1996-07-01	Art1	A	0	No remarks	No remarks
1996-07-01	Art6	A	0	No remarks	No remarks
1996-07-01	Art1	B	-9999	No remarks	No remarks
1996-07-01	Art2	B	0	No remarks	No remarks
1996-07-01	Art3	B	0	No remarks	No remarks
1996-07-01	Art3	C	0	No remarks	No remarks
1996-07-01	Art4	C	0	No remarks	No remarks
1996-07-01	Art5	C	0	No remarks	No remarks
1996-07-01	Art6	C	0	No remarks	No remarks
1996-07-01	Art5	D	0	No remarks	No remarks
1996-07-01	Art6	D	0	No remarks	No remarks
1996-07-01	Art1	E	-9999	No remarks	No remarks
1996-07-01	Art2	E	0	No remarks	No remarks
1996-07-01	Art1	F	-9999	No remarks	No remarks
1996-07-01	Art2	F	0	No remarks	No remarks
1996-07-01	Art3	F	0	No remarks	No remarks
1996-07-01	Art4	F	0	No remarks	No remarks
1996-07-01	Art5	F	0	No remarks	No remarks
1996-07-01	Art4	G	0	No remarks	No remarks
1996-07-01	Art5	G	0	No remarks	No remarks
1996-07-01	Art6	G	0	No remarks	No remarks
1996-07-01	Art1	H	-9999	No remarks	No remarks
1996-07-01	Art6	H	0	No remarks	No remarks
1996-07-02	Sal3	A-D	0	No remarks	No remarks
1996-07-08	Dry3	A-D	0	No remarks	No remarks
1996-07-08	Dry4	A-D	0	No remarks	No remarks
1996-07-08	Dry5	A-D	0	No remarks	No remarks
1996-07-08	Dry6Pap4	A-D	0	No remarks	No remarks
1996-07-08	Cas2	A-D	0	No remarks	No remarks
1996-07-08	Cas3	A-D	0	No remarks	No remarks
1996-07-08	Cas4	A-D	0	No remarks	No remarks
1996-07-08	Sax1Sil1	A-D	0	No remarks	No remarks
1996-07-08	Pap3	A-D	0	No remarks	No remarks
1996-07-08	Dry6Pap4	A-D	0	No remarks	No remarks
1996-07-08	Sil4	A-D	0	No remarks	No remarks
1996-07-08	Art1	A	0	No remarks	No remarks
1996-07-08	Art6	A	0	No remarks	No remarks
1996-07-08	Art1	B	-9999	No remarks	No remarks
1996-07-08	Art2	B	0	No remarks	No remarks
1996-07-08	Art3	B	0	No remarks	No remarks
1996-07-08	Art3	C	0	No remarks	No remarks
1996-07-08	Art4	C	0	No remarks	No remarks
1996-07-08	Art5	C	0	No remarks	No remarks
1996-07-08	Art6	C	0	No remarks	No remarks
1996-07-08	Art5	D	0	No remarks	No remarks
1996-07-08	Art6	D	0	No remarks	No remarks
1996-07-08	Art1	E	-9999	No remarks	No remarks
1996-07-08	Art2	E	0	No remarks	No remarks
1996-07-08	Art1	F	-9999	No remarks	No remarks
1996-07-08	Art2	F	0	No remarks	No remarks
1996-07-08	Art3	F	0	No remarks	No remarks
1996-07-08	Art4	F	0	No remarks	No remarks
1996-07-08	Art5	F	0	No remarks	No remarks
1996-07-08	Art4	G	0	No remarks	No remarks
1996-07-08	Art5	G	0	No remarks	No remarks
1996-07-08	Art6	G	0	No remarks	No remarks
1996-07-08	Art1	H	-9999	No remarks	No remarks
1996-07-08	Art6	H	0	No remarks	No remarks
1996-07-08	Dry1	A-D	0	No remarks	No remarks
1996-07-08	Dry2Sal7	A-D	0	No remarks	No remarks
1996-07-08	Sal1	A-D	0	No remarks	No remarks
1996-07-08	Sal2	A-D	0	No remarks	No remarks
1996-07-08	Sal3	A-D	0	No remarks	No remarks
1996-07-08	Sal4	A-D	0	No remarks	No remarks
1996-07-08	Cas1	A-D	0	No remarks	No remarks
1996-07-08	Sax2Sil2	A-D	0	No remarks	No remarks
1996-07-08	Sax3Sil3	A-D	0	No remarks	No remarks
1996-07-08	Pap1	A-D	0	No remarks	No remarks
1996-07-08	Pap2Sal5	A-D	0	No remarks	No remarks
1996-07-08	Art2	A	0	No remarks	No remarks
1996-07-08	Art3	A	0	No remarks	No remarks
1996-07-08	Art4	A	0	No remarks	No remarks
1996-07-08	Art5	A	0	No remarks	No remarks
1996-07-08	Art4	B	0	No remarks	No remarks
1996-07-08	Art5	B	0	No remarks	No remarks
1996-07-08	Art6	B	0	No remarks	No remarks
1996-07-08	Art1	C	-9999	No remarks	No remarks
1996-07-08	Art2	C	0	No remarks	No remarks
1996-07-08	Art1	D	-9999	No remarks	No remarks
1996-07-08	Art2	D	0	No remarks	No remarks
1996-07-08	Art3	D	0	No remarks	No remarks
1996-07-08	Art4	D	0	No remarks	No remarks
1996-07-08	Art3	E	0	No remarks	No remarks
1996-07-08	Art4	E	0	No remarks	No remarks
1996-07-08	Art5	E	0	No remarks	No remarks
1996-07-08	Art6	E	0	No remarks	No remarks
1996-07-08	Art6	F	0	No remarks	No remarks
1996-07-08	Art1	G	-9999	No remarks	No remarks
1996-07-08	Art2	G	0	No remarks	No remarks
1996-07-08	Art3	G	0	No remarks	No remarks
1996-07-08	Art2	H	0	No remarks	No remarks
1996-07-08	Art3	H	0	No remarks	No remarks
1996-07-08	Art4	H	0	No remarks	No remarks
1996-07-08	Art5	H	0	No remarks	No remarks
1996-07-12	Sal2	A-D	-9999	No remarks	No remarks
1996-07-12	Sal4	A-D	-9999	No remarks	No remarks
1996-07-12	Cas1	A-D	0	No remarks	No remarks
1996-07-15	Dry6Pap4	A-D	0	No remarks	No remarks
1996-07-15	Sal1	A-D	0	No remarks	No remarks
1996-07-15	Sal2	A-D	0	No remarks	No remarks
1996-07-15	Sal3	A-D	0	No remarks	No remarks
1996-07-15	Sal4	A-D	0	No remarks	No remarks
1996-07-15	Sax1Sil1	A-D	0	No remarks	No remarks
1996-07-15	Sax2Sil2	A-D	0	No remarks	No remarks
1996-07-15	Sax3Sil3	A-D	0	No remarks	No remarks
1996-07-15	Pap1	A-D	0	No remarks	No remarks
1996-07-15	Art1	A	0	No remarks	No remarks
1996-07-15	Art2	A	0	No remarks	No remarks
1996-07-15	Art3	A	0	No remarks	No remarks
1996-07-15	Art4	A	0	No remarks	No remarks
1996-07-15	Art4	B	0	No remarks	No remarks
1996-07-15	Art5	B	0	No remarks	No remarks
1996-07-15	Art6	B	0	No remarks	No remarks
1996-07-15	Art1	C	-9999	No remarks	No remarks
1996-07-15	Art6	C	0	No remarks	No remarks
1996-07-15	Art1	D	-9999	No remarks	No remarks
1996-07-15	Art2	D	0	No remarks	No remarks
1996-07-15	Art3	D	0	No remarks	No remarks
1996-07-15	Art2	E	0	No remarks	No remarks
1996-07-15	Art3	E	0	No remarks	No remarks
1996-07-15	Art4	E	0	No remarks	No remarks
1996-07-15	Art5	E	0	No remarks	No remarks
1996-07-15	Art5	F	0	No remarks	No remarks
1996-07-15	Art6	F	0	No remarks	No remarks
1996-07-15	Art1	G	-9999	No remarks	No remarks
1996-07-15	Art2	G	0	No remarks	No remarks
1996-07-15	Art1	H	-9999	No remarks	No remarks
1996-07-15	Art2	H	0	No remarks	No remarks
1996-07-15	Art3	H	0	No remarks	No remarks
1996-07-15	Art4	H	0	No remarks	No remarks
1996-07-15	Dry2Sal7	A-D	0	No remarks	No remarks
1996-07-15	Dry3	A-D	0	No remarks	No remarks
1996-07-15	Dry4	A-D	0	No remarks	No remarks
1996-07-15	Dry5	A-D	0	No remarks	No remarks
1996-07-15	Cas1	A-D	0	No remarks	No remarks
1996-07-15	Cas2	A-D	0	No remarks	No remarks
1996-07-15	Cas3	A-D	0	No remarks	No remarks
1996-07-15	Cas4	A-D	0	No remarks	No remarks
1996-07-15	Pap2Sal5	A-D	0	No remarks	No remarks
1996-07-15	Pap3	A-D	0	No remarks	No remarks
1996-07-15	Dry6Pap4	A-D	0	No remarks	No remarks
1996-07-15	Sil4	A-D	0	No remarks	No remarks
